id,cs_python,cs_java,cs_c,cs_perl,cs_javascript,cs_r,cs_sas,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,len_answer,experience_coded,experience
63,1,1,1,0,0,1,0,1,6,6,3,1,3,6,176,3,"2-5 years, I'm getting good at what I do!"
64,1,0,0,0,0,1,0,6,7,10,10,4,8,9,370,3,"2-5 years, I'm getting good at what I do!"
65,1,1,0,0,0,1,1,4,5,7,8,3,3,5,535,1,"None, I just finished my undergrad!"
66,1,0,1,0,0,1,0,8,6,8,8,8,3,3,196,2,"< 2 years, I'm fresh!"
67,1,1,0,0,0,1,0,5,4,6,8,1,3,6,288,2,"< 2 years, I'm fresh!"
68,1,0,0,0,0,0,0,2,3,6,3,1,5,7,0,2,"< 2 years, I'm fresh!"
69,1,1,1,0,0,0,0,1,7,5,6,1,1,5,332,2,"< 2 years, I'm fresh!"
70,1,0,0,0,0,1,1,7,6,6,8,6,3,4,892,1,"None, I just finished my undergrad!"
71,1,0,0,0,0,0,0,1,3,9,8,1,1,5,975,3,"2-5 years, I'm getting good at what I do!"
72,0,0,0,0,0,1,0,4,3,5,6,2,7,7,714,3,"2-5 years, I'm getting good at what I do!"
73,1,0,0,0,0,1,0,6,5,6,7,7,7,7,671,3,"2-5 years, I'm getting good at what I do!"
74,1,1,0,0,0,0,0,1,4,7,7,1,3,5,544,1,"None, I just finished my undergrad!"
75,1,1,1,0,0,1,0,7,8,6,7,7,1,6,224,1,"None, I just finished my undergrad!"
76,0,0,0,0,0,1,1,2,1,5,7,1,6,8,396,2,"< 2 years, I'm fresh!"
77,1,0,0,0,0,0,0,4,7,1,2,2,7,6,1426,3,"2-5 years, I'm getting good at what I do!"
78,1,1,0,0,0,1,0,6,5,6,6,5,4,7,666,1,"None, I just finished my undergrad!"
79,0,0,0,0,0,0,0,1,1,6,1,1,4,5,612,3,"2-5 years, I'm getting good at what I do!"
80,1,1,1,0,0,0,0,2,5,4,4,4,6,4,285,1,"None, I just finished my undergrad!"
81,0,1,1,0,0,1,0,3,6,5,4,1,1,7,974,4,"5+ years, I'm a veteran!"
82,1,1,1,0,0,1,0,5,5,8,8,5,1,3,205,1,"None, I just finished my undergrad!"
83,0,0,1,0,0,0,0,1,1,5,5,1,1,1,247,2,"< 2 years, I'm fresh!"
84,1,0,0,0,0,0,0,4,3,6,8,7,8,8,1094,4,"5+ years, I'm a veteran!"
85,1,0,1,0,0,1,0,5,3,7,6,5,3,3,206,1,"None, I just finished my undergrad!"
86,1,0,1,0,0,0,0,6,7,5,5,7,6,6,579,1,"None, I just finished my undergrad!"
87,1,1,1,0,0,1,0,3,6,8,6,7,2,9,343,1,"None, I just finished my undergrad!"
88,1,0,0,0,0,1,0,7,4,8,7,5,7,6,1119,2,"< 2 years, I'm fresh!"
89,1,0,1,0,0,1,0,3,2,5,5,3,1,3,194,1,"None, I just finished my undergrad!"
90,1,1,0,0,0,0,0,1,8,6,6,3,5,3,1227,4,"5+ years, I'm a veteran!"
91,0,0,0,0,0,1,0,5,1,7,5,1,5,7,619,3,"2-5 years, I'm getting good at what I do!"
92,1,1,0,0,0,1,0,2,4,5,6,1,6,6,474,2,"< 2 years, I'm fresh!"
93,0,0,0,0,0,0,0,2,2,5,6,1,8,9,157,3,"2-5 years, I'm getting good at what I do!"
94,1,1,1,0,0,0,0,7,9,8,6,7,2,5,640,3,"2-5 years, I'm getting good at what I do!"
95,1,0,0,0,0,0,0,4,3,4,3,5,4,5,680,2,"< 2 years, I'm fresh!"
96,0,0,0,0,0,0,0,5,1,7,5,1,5,7,223,2,"< 2 years, I'm fresh!"
97,1,1,1,0,1,0,0,2,8,6,5,6,1,6,1232,1,"None, I just finished my undergrad!"
98,1,0,0,0,0,1,0,6,4,6,6,1,4,8,0,3,"2-5 years, I'm getting good at what I do!"
99,1,1,0,0,1,0,0,5,7,9,9,8,3,8,1026,2,"< 2 years, I'm fresh!"
100,1,1,1,0,0,0,0,4,7,7,6,5,4,5,518,1,"None, I just finished my undergrad!"
101,1,0,0,0,0,1,0,5,4,5,4,3,6,6,308,1,"None, I just finished my undergrad!"
102,1,0,1,0,0,0,0,1,5,6,4,3,1,1,606,1,"None, I just finished my undergrad!"
103,1,0,0,0,0,1,0,3,4,7,7,3,3,7,673,1,"None, I just finished my undergrad!"
104,1,0,0,0,0,0,1,7,2,7,7,1,10,9,361,4,"5+ years, I'm a veteran!"
105,1,1,1,0,1,1,0,6,6,6,5,7,4,5,238,1,"None, I just finished my undergrad!"
106,1,0,0,0,0,1,0,5,5,8,8,7,7,7,304,4,"5+ years, I'm a veteran!"
107,1,0,0,0,1,1,0,3,5,6,8,6,6,6,582,1,"None, I just finished my undergrad!"
108,1,0,1,0,0,0,0,9,5,8,7,2,6,7,279,2,"< 2 years, I'm fresh!"
109,1,0,0,0,0,1,0,2,2,5,5,1,3,2,821,1,"None, I just finished my undergrad!"
110,1,0,0,0,0,1,0,1,1,4,6,2,8,7,329,3,"2-5 years, I'm getting good at what I do!"
111,1,1,0,0,0,1,0,6,4,8,7,2,4,5,502,1,"None, I just finished my undergrad!"
112,1,0,0,0,0,1,0,7,4,6,6,6,6,9,433,2,"< 2 years, I'm fresh!"
113,1,0,1,0,0,0,0,8,7,6,5,3,8,8,1147,2,"< 2 years, I'm fresh!"
114,1,0,1,0,0,1,0,4,6,6,5,4,4,8,1432,2,"< 2 years, I'm fresh!"
115,1,0,0,0,0,1,0,5,2,7,8,1,9,9,753,3,"2-5 years, I'm getting good at what I do!"
116,1,0,0,0,1,0,0,4,6,4,3,3,7,7,312,4,"5+ years, I'm a veteran!"
117,1,1,1,0,0,0,0,6,6,5,4,6,4,6,810,2,"< 2 years, I'm fresh!"
118,1,1,1,0,1,1,0,5,8,5,5,5,5,8,161,2,"< 2 years, I'm fresh!"
119,1,0,0,0,0,1,0,5,3,6,7,1,6,4,427,1,"None, I just finished my undergrad!"
120,1,1,0,0,0,1,0,5,3,7,8,2,3,4,88,1,"None, I just finished my undergrad!"
121,1,1,0,0,0,1,0,7,6,7,4,4,7,5,1901,3,"2-5 years, I'm getting good at what I do!"
122,0,0,0,0,0,0,0,2,1,7,7,1,3,8,601,3,"2-5 years, I'm getting good at what I do!"
123,1,1,0,0,0,1,0,7,4,5,5,1,3,8,559,3,"2-5 years, I'm getting good at what I do!"
124,1,1,0,0,0,1,0,8,3,9,8,4,9,10,1193,4,"5+ years, I'm a veteran!"
125,1,1,1,0,0,0,0,5,7,3,3,5,1,1,576,2,"< 2 years, I'm fresh!"
126,0,0,1,0,0,1,0,7,2,10,10,8,1,7,481,1,"None, I just finished my undergrad!"
127,1,1,0,0,0,1,1,3,2,6,6,4,2,3,234,2,"< 2 years, I'm fresh!"
128,1,1,0,0,1,0,1,4,4,5,5,2,4,5,566,1,"None, I just finished my undergrad!"
129,1,1,0,0,0,0,0,7,8,9,6,7,6,8,476,2,"< 2 years, I'm fresh!"
130,1,1,1,0,0,1,1,4,5,8,6,3,8,6,437,1,"None, I just finished my undergrad!"
131,1,1,1,0,0,1,0,6,7,7,6,7,3,4,547,1,"None, I just finished my undergrad!"
132,1,0,1,0,0,1,0,6,7,8,7,8,6,7,471,1,"None, I just finished my undergrad!"
133,0,0,0,0,0,1,0,1,1,10,7,1,1,1,201,1,"None, I just finished my undergrad!"
134,1,0,0,0,0,0,0,5,3,6,5,2,6,5,472,2,"< 2 years, I'm fresh!"
135,0,0,0,0,0,0,0,6,3,5,3,2,7,8,494,1,"None, I just finished my undergrad!"
136,1,0,0,0,1,1,0,2,2,2,3,1,5,5,1390,1,"None, I just finished my undergrad!"
137,1,0,0,0,0,0,0,1,1,3,1,2,1,1,334,1,"None, I just finished my undergrad!"
138,0,0,0,0,0,1,0,4,1,7,7,1,8,9,304,3,"2-5 years, I'm getting good at what I do!"
139,0,0,0,0,0,1,0,3,1,7,9,5,5,7,114,1,"None, I just finished my undergrad!"
140,1,0,0,0,0,0,0,1,3,7,5,2,6,6,1692,3,"2-5 years, I'm getting good at what I do!"
141,1,0,1,0,0,1,1,3,2,3,7,3,2,3,198,1,"None, I just finished my undergrad!"
142,1,0,1,0,0,1,0,4,4,8,7,6,1,4,678,1,"None, I just finished my undergrad!"
143,1,0,0,0,0,1,0,3,5,2,1,4,7,6,449,1,"None, I just finished my undergrad!"
144,1,0,0,0,0,1,0,2,4,6,8,1,3,5,110,2,"< 2 years, I'm fresh!"
145,0,1,0,0,0,1,0,1,5,5,5,2,1,5,497,1,"None, I just finished my undergrad!"
146,1,0,0,0,0,1,1,5,5,9,9,6,7,9,481,2,"< 2 years, I'm fresh!"
147,1,0,0,0,1,0,0,3,5,7,6,6,7,7,706,1,"None, I just finished my undergrad!"
148,1,0,0,0,0,1,1,6,3,6,6,1,5,6,339,3,"2-5 years, I'm getting good at what I do!"
149,1,1,0,0,0,0,0,1,5,5,8,1,10,10,185,1,"None, I just finished my undergrad!"
150,1,0,0,0,0,1,0,6,4,8,8,6,4,5,405,1,"None, I just finished my undergrad!"
151,1,0,1,0,0,1,0,2,3,6,4,2,4,6,485,2,"< 2 years, I'm fresh!"
152,1,0,0,0,0,1,0,1,1,5,6,3,2,5,140,1,"None, I just finished my undergrad!"
153,1,0,0,0,0,1,1,5,2,4,7,1,1,4,0,1,"None, I just finished my undergrad!"
154,1,0,1,0,0,0,1,1,4,5,4,1,1,3,621,1,"None, I just finished my undergrad!"
155,1,1,0,0,0,1,0,7,5,5,7,6,3,8,449,2,"< 2 years, I'm fresh!"
156,1,0,0,0,0,1,0,1,5,9,9,6,6,6,193,2,"< 2 years, I'm fresh!"
157,1,0,0,0,0,1,0,2,6,10,8,3,6,4,225,2,"< 2 years, I'm fresh!"
158,1,1,1,0,0,1,1,5,5,8,8,1,2,5,667,2,"< 2 years, I'm fresh!"
159,1,0,0,0,0,1,0,7,7,9,7,8,1,5,485,1,"None, I just finished my undergrad!"
160,1,0,0,0,0,1,0,5,2,4,5,6,8,9,118,4,"5+ years, I'm a veteran!"
161,1,0,1,0,0,1,0,5,3,6,5,1,1,5,736,2,"< 2 years, I'm fresh!"
162,1,0,0,0,0,0,0,3,2,8,5,1,1,7,206,1,"None, I just finished my undergrad!"
163,1,1,0,0,0,1,0,6,3,6,7,0,0,8,527,1,"None, I just finished my undergrad!"
