id,cs_python,cs_java,cs_c,cs_perl,cs_javascript,cs_r,cs_sas,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,fruit,len_answer,season,experience_coded,experience
18,1,1,1,0,0,0,0,2,6,6,4,3,7,7,Oranges,752,Spring,1,"None, I just finished my undergrad!"
19,1,1,0,0,0,1,1,4,4,6,6,4,2,3,Oranges,829,Fall,1,"None, I just finished my undergrad!"
20,0,0,0,0,0,1,1,4,5,6,8,3,3,8,Oranges,269,Fall,1,"None, I just finished my undergrad!"
21,1,0,0,0,0,1,0,5,8,8,7,5,3,5,Oranges,271,Fall,3,"2-5 years, I'm getting good at what I do!"
22,1,0,0,0,0,0,0,6,1,8,9,1,7,9,Apples,556,Fall,1,"None, I just finished my undergrad!"
23,1,1,0,0,0,0,0,1,4,8,7,2,2,9,Apples,148,Summer,2,"< 2 years, I'm fresh!"
24,1,1,1,0,0,1,0,3,7,5,2,2,3,7,Oranges,639,Summer,2,"< 2 years, I'm fresh!"
25,1,1,1,0,0,1,0,1,4,5,6,2,6,4,Apples,486,Spring,1,"None, I just finished my undergrad!"
26,1,0,0,0,0,1,0,8,5,7,8,6,6,6,Apples,399,Summer,1,"None, I just finished my undergrad!"
27,0,1,0,0,0,1,0,1,2,4,3,1,2,2,Apples,492,Fall,1,"None, I just finished my undergrad!"
28,0,1,0,0,0,1,1,2,3,8,8,3,4,5,Oranges,1172,Fall,1,"None, I just finished my undergrad!"
29,1,1,1,0,0,1,0,4,4,3,3,1,7,8,Apples,340,Spring,4,"5+ years, I'm a veteran!"
30,0,0,0,0,0,0,0,5,3,7,7,3,5,5,Apples,0,Winter,1,"None, I just finished my undergrad!"
31,1,0,1,0,0,1,0,6,3,4,8,1,2,3,Oranges,548,Fall,1,"None, I just finished my undergrad!"
32,1,0,0,0,0,0,0,3,5,8,8,3,9,9,Apples,3683,Spring,2,"< 2 years, I'm fresh!"
33,1,0,0,0,0,0,1,1,1,3,6,1,4,5,Oranges,0,Fall,2,"< 2 years, I'm fresh!"
34,0,0,1,0,0,1,0,1,3,8,7,5,4,6,Oranges,712,Winter,1,"None, I just finished my undergrad!"
35,1,0,0,0,0,1,1,2,2,7,8,5,3,5,Apples,243,Summer,1,"None, I just finished my undergrad!"
36,1,1,1,0,0,1,0,6,7,4,5,2,4,7,Apples,1141,Fall,1,"None, I just finished my undergrad!"
37,1,1,0,0,0,1,0,3,5,9,9,1,5,7,Oranges,440,Summer,1,"None, I just finished my undergrad!"
38,1,1,0,0,0,1,0,3,5,9,9,1,5,7,Oranges,0,Summer,1,"None, I just finished my undergrad!"
39,1,0,1,0,0,1,1,1,3,7,7,1,3,5,Oranges,334,Fall,1,"None, I just finished my undergrad!"
40,1,0,1,0,0,1,1,1,4,7,7,1,7,5,Oranges,0,Fall,1,"None, I just finished my undergrad!"
41,1,0,0,0,0,1,1,8,3,9,9,8,3,6,Oranges,844,Fall,3,"2-5 years, I'm getting good at what I do!"
42,1,1,0,0,1,0,0,6,6,8,7,3,5,5,Apples,267,Summer,2,"< 2 years, I'm fresh!"
43,1,0,1,0,0,0,0,5,5,8,4,6,7,8,Apples,1155,Spring,3,"2-5 years, I'm getting good at what I do!"
44,0,0,1,0,0,1,1,7,5,7,7,1,7,7,Apples,371,Winter,2,"< 2 years, I'm fresh!"
45,0,1,1,0,0,0,0,4,7,5,5,4,3,4,Apples,618,Fall,1,"None, I just finished my undergrad!"
46,1,1,1,0,0,1,0,1,8,9,7,5,1,5,Oranges,418,Winter,1,"None, I just finished my undergrad!"
47,0,0,1,0,0,0,1,3,3,7,8,1,6,5,Apples,780,Fall,1,"None, I just finished my undergrad!"
48,0,0,1,0,0,1,0,3,5,8,6,5,2,4,Apples,286,Fall,1,"None, I just finished my undergrad!"
49,1,1,0,0,1,1,1,5,3,8,8,3,3,6,Apples,303,Fall,1,"None, I just finished my undergrad!"
50,1,1,0,0,0,1,0,7,5,9,9,10,5,6,Apples,163,Summer,1,"None, I just finished my undergrad!"
51,0,1,0,0,0,1,0,6,5,7,7,5,6,7,Oranges,529,Fall,1,"None, I just finished my undergrad!"
52,0,1,0,0,0,1,0,1,2,9,9,1,4,5,Apples,613,Fall,1,"None, I just finished my undergrad!"
53,1,0,0,0,0,1,0,7,4,7,7,3,7,9,Apples,248,Fall,2,"< 2 years, I'm fresh!"
54,0,0,0,0,0,0,0,5,2,4,4,1,8,8,Apples,657,Summer,3,"2-5 years, I'm getting good at what I do!"
55,1,0,0,0,0,1,0,5,5,7,7,1,7,7,Oranges,459,Spring,4,"5+ years, I'm a veteran!"
56,0,1,0,0,0,1,0,2,8,6,5,5,4,8,Apples,1032,Fall,1,"None, I just finished my undergrad!"
57,0,0,1,0,0,0,0,1,1,8,8,1,5,8,Apples,252,Summer,3,"2-5 years, I'm getting good at what I do!"
58,1,1,1,0,0,1,1,6,5,7,8,6,4,4,Apples,185,Fall,1,"None, I just finished my undergrad!"
59,1,0,0,0,0,1,1,6,3,7,8,5,3,3,Apples,396,Spring,1,"None, I just finished my undergrad!"
60,1,0,1,0,0,1,1,7,5,9,9,3,7,7,Apples,720,Summer,1,"None, I just finished my undergrad!"
61,1,0,1,0,0,0,0,1,5,6,1,1,1,2,Oranges,451,Winter,1,"None, I just finished my undergrad!"
62,0,0,0,0,0,1,1,3,5,8,8,1,1,7,Oranges,1370,Spring,3,"2-5 years, I'm getting good at what I do!"
63,1,1,0,0,0,1,0,3,6,7,6,3,2,2,Apples,418,Fall,2,"< 2 years, I'm fresh!"
64,1,0,0,0,0,0,0,6,3,8,7,1,2,4,Apples,233,Fall,1,"None, I just finished my undergrad!"
65,1,1,0,0,0,1,0,7,7,8,7,6,2,2,Oranges,531,Fall,2,"< 2 years, I'm fresh!"
66,0,1,1,0,0,1,0,8,7,8,7,3,3,7,Oranges,835,Fall,3,"2-5 years, I'm getting good at what I do!"
67,0,1,1,0,0,1,1,5,5,7,8,3,8,7,Oranges,765,Spring,3,"2-5 years, I'm getting good at what I do!"
68,1,0,0,0,0,0,0,2,6,4,6,5,6,4,Oranges,727,0,3,"2-5 years, I'm getting good at what I do!"
69,1,1,1,0,1,0,0,4,7,5,5,6,3,5,Oranges,513,Fall,3,"2-5 years, I'm getting good at what I do!"
70,1,1,1,0,1,0,0,4,7,5,5,6,3,5,Oranges,909,Fall,3,"2-5 years, I'm getting good at what I do!"
71,0,0,0,0,0,0,1,4,2,5,5,1,6,5,Oranges,907,Fall,3,"2-5 years, I'm getting good at what I do!"
72,1,1,1,0,0,1,0,2,9,10,8,4,1,5,Oranges,0,Winter,1,"None, I just finished my undergrad!"
73,1,1,1,0,0,1,0,4,7,5,5,5,6,4,Apples,470,Fall,1,"None, I just finished my undergrad!"
74,0,0,0,0,0,1,0,2,2,6,6,3,8,6,Oranges,395,Spring,2,"< 2 years, I'm fresh!"
75,0,0,0,0,1,0,0,1,6,10,9,1,1,5,Oranges,549,Winter,1,"None, I just finished my undergrad!"
76,1,1,1,0,0,1,1,6,6,7,9,4,1,4,Oranges,354,Spring,1,"None, I just finished my undergrad!"
77,1,0,0,0,0,1,0,1,4,8,8,3,5,5,Apples,1273,Fall,2,"< 2 years, I'm fresh!"
78,1,0,0,0,0,0,0,1,5,8,8,1,8,5,Apples,982,Fall,3,"2-5 years, I'm getting good at what I do!"
79,0,0,0,0,0,1,1,1,1,5,7,5,6,4,Oranges,942,Spring,1,"None, I just finished my undergrad!"
80,1,1,1,0,0,1,0,3,8,8,6,6,6,7,Apples,308,Spring,3,"2-5 years, I'm getting good at what I do!"
81,1,0,0,0,0,0,0,3,3,4,4,3,4,5,Apples,1604,Spring,3,"2-5 years, I'm getting good at what I do!"
82,0,0,1,0,1,0,0,2,6,3,2,1,6,10,Apples,706,Fall,4,"5+ years, I'm a veteran!"
83,1,1,1,0,0,0,0,4,4,7,7,2,5,6,Oranges,236,Fall,1,"None, I just finished my undergrad!"
84,0,0,1,0,0,1,1,5,3,7,8,6,4,6,Oranges,462,Fall,1,"None, I just finished my undergrad!"
85,1,1,0,0,1,1,0,4,7,4,6,5,6,9,Oranges,761,Winter,2,"< 2 years, I'm fresh!"
86,1,0,0,0,0,0,0,2,2,5,4,1,1,7,Oranges,642,Fall,2,"< 2 years, I'm fresh!"
87,1,0,1,0,0,1,0,3,5,7,7,5,1,5,Oranges,567,Summer,1,"None, I just finished my undergrad!"
88,1,1,1,1,0,0,0,6,10,8,6,6,2,6,Oranges,633,Winter,1,"None, I just finished my undergrad!"
89,1,0,1,0,0,1,0,3,5,7,8,5,3,3,Apples,320,Fall,1,"None, I just finished my undergrad!"
90,0,0,0,0,0,1,0,3,2,4,7,2,6,6,Oranges,352,Spring,3,"2-5 years, I'm getting good at what I do!"
91,1,0,0,0,0,1,1,2,2,6,8,3,5,4,Oranges,620,Fall,2,"< 2 years, I'm fresh!"
92,1,0,0,0,0,1,0,5,5,5,7,7,3,5,Oranges,604,Winter,3,"2-5 years, I'm getting good at what I do!"
93,1,1,0,0,0,1,0,5,7,5,7,4,3,5,Oranges,125,Winter,3,"2-5 years, I'm getting good at what I do!"
94,1,0,1,0,0,1,0,5,3,7,3,3,4,7,Oranges,0,Summer,3,"2-5 years, I'm getting good at what I do!"
95,0,0,0,0,0,1,0,4,1,6,8,1,5,7,Apples,892,Spring,4,"5+ years, I'm a veteran!"
96,1,1,1,0,0,1,1,4,4,7,8,7,5,2,Apples,93,Fall,1,"None, I just finished my undergrad!"
97,1,1,1,0,1,1,0,5,7,6,6,6,4,5,Apples,302,Fall,2,"< 2 years, I'm fresh!"
98,0,0,0,0,0,1,0,2,2,7,5,1,3,3,Apples,832,Spring,1,"None, I just finished my undergrad!"
99,1,1,1,0,1,0,0,2,6,4,4,3,3,3,Apples,255,Spring,1,"None, I just finished my undergrad!"
100,1,0,1,0,0,1,1,7,8,6,6,8,4,7,Apples,130,Spring,1,"None, I just finished my undergrad!"
101,0,0,0,0,0,1,1,5,3,3,7,2,6,6,Apples,526,Spring,1,"None, I just finished my undergrad!"
102,1,0,0,0,0,0,1,1,1,1,1,1,1,1,Oranges,1,Summer,4,"5+ years, I'm a veteran!"
