revenue,outcalls,incalls,months,eqpdays,webcap,marryyes,travel,pcown,creditcd,retcalls,churndep
22.6,0,0,25,745,1,1,0,0,1,1,1
28.47,8,0,10,287,0,0,0,0,0,1,1
41.09,11,0,49,1493,0,0,0,0,1,0,1
70.98,31.67,13,18,555,1,0,0,0,0,1,1
31.8,2.33,0.33,15,437,0,1,0,0,1,1,1
5.05,0,0,20,607,1,0,0,0,0,1,1
10,0.33,0,46,1391,0,0,0,0,0,0,1
11.4,19.67,0.33,41,817,1,0,0,0,0,1,1
41.97,4.67,1.33,24,417,0,0,0,0,0,1,1
79.56,42.33,4.67,49,1462,0,1,0,0,1,0,1
84.63,23,1.67,43,1282,0,0,0,0,0,0,1
166.57,13.67,2,11,148,0,0,0,0,0,1,1
35.8,2,0,24,715,1,0,1,1,1,1,1
109.84,37.67,9,16,474,1,0,0,0,0,1,1
115.59,55.33,23.33,22,676,1,0,0,0,1,1,1
29.99,2.67,0.67,19,566,1,0,0,0,0,1,1
23.49,3.33,0,25,736,1,1,0,0,1,1,1
26.24,3,0,24,721,1,1,0,1,1,1,1
68.8,25,1.67,16,493,1,0,0,0,0,1,1
85.59,31.67,4.67,21,638,1,0,0,0,1,1,1
30,1.67,0.33,50,1506,0,1,0,0,1,0,1
78.36,14,0,16,475,1,0,0,0,0,1,1
32.67,0.67,0,23,700,1,1,1,1,1,1,1
47.59,17.33,2.33,13,394,0,0,0,0,1,1,1
39.25,10,0,18,537,1,0,0,0,0,1,1
76.99,29.33,7.33,18,518,1,0,0,0,0,1,1
31.06,1,0,50,1500,0,1,0,0,1,0,1
37.74,7,0.67,13,397,0,1,0,0,1,1,1
17.29,0,0,45,1360,0,0,0,0,0,0,1
38.25,43.33,12.33,25,749,1,0,0,1,1,1,1
16.3,8,2,25,741,1,0,0,0,1,1,1
89.13,0,0,15,449,1,0,0,0,0,1,1
17.49,0,0,51,1523,0,1,0,0,1,0,1
29.99,2.67,0.33,23,699,1,1,0,0,1,1,1
197.09,54.67,3,14,431,1,1,0,0,1,1,1
89.48,31.67,7.67,16,480,1,0,0,0,0,1,1
174.13,0,0,15,455,1,0,0,0,1,1,1
10,0,0,24,726,1,0,0,0,1,1,1
75.24,4.33,0,27,582,1,0,0,0,0,1,1
119.66,59.67,9.67,33,432,0,0,0,0,0,1,1
10.09,1,1,24,726,1,1,0,1,1,1,1
28.36,0,0,23,692,1,0,0,0,1,1,1
28.45,1.33,1,26,12,1,0,0,0,1,2,1
63.52,12.67,2,16,482,1,1,0,0,0,1,1
5,0,0,20,579,1,0,0,0,0,1,1
29.99,0,0,44,1321,0,0,0,0,0,0,1
34.99,0,0,44,1315,0,0,0,0,0,0,1
36.31,0.33,0,22,667,1,0,0,0,1,1,1
212.6,165.67,22,17,490,1,1,0,0,1,1,1
861.11,0,0,7,224,1,0,0,0,0,0,1
38.13,2.67,0,49,1464,0,1,0,1,1,0,1
35.34,0,2,48,1462,0,1,0,1,1,0,1
10,0,0,50,1503,0,0,0,1,1,0,1
29.99,1.33,0,17,424,0,1,0,0,1,1,1
39.99,31.33,2.33,17,509,1,0,0,0,0,1,1
72.2,11,0.67,15,448,1,0,0,0,0,1,1
33.81,0,0,49,1463,0,0,0,1,1,0,1
82.91,20.33,4.33,21,611,1,0,0,0,1,1,1
52.82,1.67,0,47,1419,0,1,0,0,1,0,1
34.99,12.33,0,22,658,1,1,0,0,1,1,1
125.39,23.33,0,12,352,1,0,0,0,0,1,1
26.94,0,0,48,1455,0,0,0,1,1,0,1
20,0.33,0,49,1472,0,0,0,0,1,0,1
26.49,39,0,22,664,1,1,0,1,1,1,1
34.39,11,3.67,22,666,1,1,0,1,1,1,1
21.5,1.33,0,48,1458,0,1,0,1,1,0,1
52.88,23,2,21,629,1,0,0,1,1,1,1
19.62,0,0,17,513,1,0,0,0,0,1,1
51.77,19.67,3,17,487,1,0,0,0,0,1,1
27.21,0,0,22,659,1,1,0,1,1,1,1
59.95,0,0,45,1382,0,1,0,1,1,0,1
5,0,0,39,665,0,1,0,1,1,1,1
54.57,1.33,0,41,1242,0,0,0,0,0,0,1
18.99,2,0,23,676,1,0,0,0,1,1,1
66.71,13.67,3,15,447,1,0,0,0,0,1,1
95.8,14.33,0.67,24,411,0,0,0,0,1,1,1
135.07,131,19,18,554,1,0,0,0,1,1,1
60.06,4,1.67,30,707,1,0,0,1,1,1,1
25.22,0,0,48,1447,0,1,0,1,1,0,1
59.99,0.67,0,15,443,1,0,0,0,0,1,1
25.99,2.67,0.67,17,502,1,0,0,0,0,1,1
17.15,0,0,47,1444,0,1,1,1,1,0,1
50,2.33,0.67,21,620,1,1,0,0,1,1,1
157.8,31.67,6,11,312,1,0,0,0,0,1,1
91.1,57.67,0,12,376,1,0,0,0,0,1,1
21.55,3.67,0,48,1448,0,1,0,0,1,0,1
190.71,29,14.33,29,589,1,1,0,0,1,1,1
65.08,16.67,4.67,15,448,1,0,0,0,0,1,1
31.26,8.67,0,47,1425,0,1,0,0,1,0,1
46.64,2,0.67,41,1245,0,0,0,0,0,0,1
24.23,2,0,11,345,0,0,0,0,1,1,1
37.76,1.67,0,21,627,1,0,1,0,1,1,1
29.99,2.67,0,48,1436,0,0,0,0,1,0,1
17.15,0,0,42,1284,0,0,0,0,0,0,1
16.78,0,0,18,514,1,0,0,0,0,1,1
74.85,0,0,14,409,1,0,0,0,0,1,1
25.84,1,0,22,648,1,0,0,0,1,1,1
49.73,33.67,1.33,16,461,1,0,0,0,0,1,1
13.14,13.33,1.33,23,676,1,0,0,0,1,1,1
36.42,0,0,47,1415,0,1,0,0,1,0,1
47.5,24.33,22,49,1490,0,1,0,0,1,0,1
142.46,39,2,36,1088,0,0,0,0,0,0,1
48.21,58.33,13,27,610,1,0,0,0,0,1,1
10,0,0,23,672,1,1,1,0,1,1,1
48.52,14,1,20,602,1,0,0,0,1,1,1
29.99,0.67,0.67,42,1267,0,0,0,0,0,0,1
25.59,0,0,21,634,1,1,0,1,1,1,1
52.58,5,2.33,24,540,1,0,0,0,0,1,1
31.04,2.67,0,22,638,1,1,0,1,1,1,1
39.12,7.33,1.67,47,1414,0,1,0,0,1,0,1
30.26,6.67,1.33,21,632,1,1,0,1,1,1,1
34.28,3,3.33,46,1413,0,1,0,1,1,0,1
136.36,4,0,10,294,1,1,0,0,0,1,1
2.7,0,0,23,677,1,0,0,0,1,1,1
20,0.33,0,48,1437,0,1,0,0,1,0,1
60.78,1,0,44,1351,0,1,0,0,1,0,1
43.83,40,14,47,1442,0,1,1,1,1,0,1
29.99,0.67,0,46,1404,0,1,0,0,1,0,1
103.27,2.67,0.67,43,1295,0,0,0,0,1,0,1
121.96,20.67,1.67,11,322,1,0,0,0,0,1,1
101.52,50.33,15,19,570,1,0,0,0,1,1,1
12.74,0,0,22,652,1,1,0,1,1,1,1
16.99,0,0,47,1427,0,1,0,0,1,0,1
35.19,49.33,22.33,19,561,1,0,0,0,0,1,1
34.99,1,0,47,1407,0,1,0,0,1,0,1
11.87,0,0,21,448,0,0,0,1,1,1,1
33.72,0,0,10,308,0,0,0,0,1,1,1
22.49,8.33,1,20,619,1,0,0,1,1,1,1
30.27,0.33,0,35,567,0,0,0,0,1,1,1
38.8,10,0,19,585,1,0,1,1,1,1,1
20.53,0,0,20,615,1,0,0,0,1,1,1
31.52,0.33,0,10,306,0,1,0,0,1,1,1
30.1,10.67,10.33,26,698,1,1,0,0,1,1,1
45.61,5,0,15,432,1,0,0,0,0,1,1
50.25,14.67,0,46,1371,0,1,0,1,1,0,1
20.66,12.33,0,21,623,1,0,1,0,1,1,1
5,0,0,34,672,1,0,0,0,0,1,1
26.73,7.67,0,46,1396,0,1,0,1,1,0,1
51.87,2.67,0.33,13,403,1,0,0,0,0,1,1
10,0,0,17,489,1,0,0,0,0,1,1
40.56,1.33,0,40,1214,0,0,0,0,0,0,1
39.99,9.67,0.67,46,1381,0,1,0,0,1,0,1
24.94,0,0,41,1240,0,0,0,0,0,0,1
30.62,7,0,45,1378,0,1,0,1,1,0,1
22.5,10,5.33,21,633,1,0,0,0,1,1,1
41.37,21,6.67,20,606,1,1,0,1,1,1,1
31.96,1.33,0.33,19,586,1,1,1,1,1,1,1
60.98,37.67,0,13,387,1,0,0,0,0,1,1
312.83,78,0,23,216,1,0,0,0,0,1,1
19.95,0,0,47,1407,0,0,0,0,1,0,1
44.8,18,16.33,21,639,1,0,0,0,1,1,1
49.87,33,1.33,19,567,1,1,0,0,1,1,1
79.58,50.33,7.67,12,378,1,0,0,0,0,1,1
48.11,17,2,40,1206,0,0,0,0,0,0,1
74.51,63,13.33,14,421,1,0,0,0,0,1,1
20.3,0.67,0,41,1240,0,0,0,0,0,0,1
35.02,12,1.33,41,1228,0,0,0,0,0,0,1
104.72,32.67,8,12,351,1,0,0,0,0,1,1
253.47,84.33,1,28,333,1,1,0,0,0,1,1
15.24,16,1.67,18,489,1,0,0,0,0,1,1
54.83,17.67,1.67,19,559,1,0,0,0,1,1,1
60.11,43.67,13.33,43,541,0,0,0,0,0,1,1
53.24,0,0,13,390,1,0,0,0,0,1,1
55.81,12.67,0.67,13,389,1,0,0,0,0,1,1
76.09,51,34.67,17,510,1,0,0,0,0,1,1
54.45,12,0.33,13,387,1,0,0,0,0,1,1
36.73,2.67,0.33,19,571,1,1,1,1,1,1,1
75.77,18.67,6,13,379,1,0,0,0,0,1,1
48.2,3.67,1.67,39,1186,0,0,0,0,0,0,1
111.26,26.33,6.67,16,476,1,0,0,0,1,1,1
71.86,18.33,0,27,419,0,1,0,0,1,1,1
29.99,0,0,14,420,1,0,0,0,0,1,1
67.34,62,28.33,22,651,1,1,0,0,1,1,1
32.28,2.67,0,45,1362,0,1,0,0,1,0,1
71.76,2.67,1.67,17,513,1,0,0,1,1,1,1
12.99,0,0,25,552,1,0,0,0,0,1,1
47.2,16.33,1,13,393,1,0,0,0,0,1,1
22.43,4.33,0,10,295,0,1,0,0,1,1,1
40.6,2.33,0.33,14,408,1,0,0,0,0,1,1
25.79,0,0.33,46,1379,0,0,0,0,1,0,1
10.24,0,0,15,448,1,0,0,0,0,1,1
45.24,2.67,0,38,1169,0,0,0,0,0,0,1
61.48,57.33,13,19,575,1,1,0,0,1,1,1
36.38,10,3,39,1197,0,1,0,0,0,0,1
44.5,6.67,1.33,14,403,1,0,0,0,0,1,1
51.53,4,0,18,534,1,1,0,0,1,1,1
33.5,3,0,45,1354,0,1,1,1,1,0,1
29.99,0.67,0,45,1357,0,0,0,1,1,0,1
8.5,0,0,41,1236,0,1,0,0,0,0,1
16.99,0,0,58,1504,0,1,0,1,1,0,1
50.43,2,0,18,531,1,1,0,0,1,1,1
159.92,19.67,1,11,342,1,1,0,1,1,1,1
30.1,0.33,0,44,1343,0,0,0,0,1,0,1
64.27,31.33,2,13,366,1,0,0,0,0,1,1
72.99,50.67,0,12,340,1,0,0,0,0,1,1
20.65,1.67,0,45,1361,0,1,0,0,1,0,1
38.74,104,21.67,16,483,1,0,0,0,0,1,1
74.99,69,11,36,528,0,0,0,0,1,1,1
11.68,36.33,14.33,41,749,1,0,0,0,0,1,1
19.95,0,0,45,1359,0,1,0,0,1,0,1
29.99,0.33,0,45,1348,0,1,0,0,1,0,1
16.99,0,0,46,1372,0,1,0,0,1,0,1
59.57,28.67,3.33,17,513,1,1,0,0,1,1,1
32.29,6.33,0,38,1167,0,0,0,0,0,0,1
49.5,16.67,5.33,13,384,1,0,0,0,0,1,1
25.91,0,0,18,548,1,0,0,0,1,1,1
37.56,22.67,12.33,20,593,1,0,0,0,1,1,1
34.91,6.67,0.67,13,384,1,0,0,0,0,1,1
51.89,30.67,0.33,16,498,1,0,0,0,1,1,1
25.49,0,0,45,1347,0,1,1,0,1,0,1
17.84,8.33,0,39,1190,0,0,0,0,0,0,1
14.33,0,1.33,40,1208,0,0,0,0,0,0,1
34.51,3.67,0,44,1326,0,1,0,0,1,0,1
76.05,57.67,0.33,45,1381,1,0,0,0,0,0,1
196.29,30.67,0.67,35,1057,0,1,0,0,1,0,1
53.59,26.33,0,42,1282,0,0,0,0,1,0,1
59.77,16.67,0.33,42,1276,0,1,0,1,1,0,1
24.99,1.33,0,33,596,1,0,0,0,0,1,1
101.1,23.67,7,15,450,1,0,0,1,1,1,1
56.93,14.33,0,16,487,1,0,0,0,1,1,1
50.49,15.33,2.67,12,356,1,0,0,0,0,1,1
49.55,4.67,1.33,12,350,1,0,0,0,0,1,1
55.11,16,4.67,12,354,1,0,0,0,0,1,1
29.99,9.33,3,14,397,1,0,0,0,0,1,1
20.53,1,0,45,1343,0,1,0,1,1,0,1
41.71,10.67,0.67,37,4,1,0,0,0,1,2,1
76.37,18.33,5.67,11,322,1,0,0,0,0,1,1
31.76,2,0,43,1308,0,1,0,1,1,0,1
20.43,0,0,44,1330,0,1,1,0,1,0,1
93.05,0,0,14,419,1,0,0,0,1,1,1
40.91,8,0.67,18,519,1,0,0,0,1,1,1
32.25,7,0,20,444,1,0,0,0,0,1,1
122.51,1.67,0,9,231,1,0,0,0,0,1,1
32.27,10,2,12,366,1,0,0,0,0,1,1
16.99,0,0,45,1342,0,0,0,0,1,0,1
45.04,63.33,4.67,18,525,1,0,0,0,1,1,1
61.04,13,0.33,33,547,1,0,0,0,0,1,1
33.25,0,0,37,1138,0,0,0,0,0,0,1
32.45,3,1,44,1317,0,0,0,0,1,0,1
35.09,1.33,0,13,366,1,0,0,0,0,1,1
39.99,2,0,17,504,1,1,0,0,1,1,1
50.73,7.67,0,17,492,1,0,0,0,1,1,1
29.99,48.33,0,38,1150,0,0,0,0,0,0,1
37.59,9.67,3,17,322,0,1,0,1,1,1,1
26.67,0.67,0,44,1318,0,1,0,0,1,0,1
30.77,0,0,43,1303,0,0,0,0,1,0,1
46.84,18,1,11,333,1,0,0,0,0,1,1
16.99,0,0,44,1328,0,1,0,0,1,0,1
30.3,0,0,44,1313,0,1,0,0,1,0,1
