id,cs_python,cs_java,cs_c,cs_perl,cs_javascript,cs_r,cs_sas,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,fruit,len_answer,season,experience_coded,experience
,1,0,0,0,0,1,0,3,3,7,8,8,3,3,Oranges,346,Summer,1,"None, I just finished my undergrad!"
,1,0,1,0,0,0,0,1,6,10,10,1,4,8,Oranges,0,Summer,1,"None, I just finished my undergrad!"
,1,0,0,0,0,0,1,3,2,6,8,1,8,8,Oranges,1193,Fall,1,"None, I just finished my undergrad!"
,1,0,1,0,0,1,0,3,4,6,6,1,6,8,Apples,424,Fall,2,"< 2 years, I'm fresh!"
,1,1,1,0,1,1,0,7,7,6,6,6,4,6,Oranges,318,Summer,1,"None, I just finished my undergrad!"
,1,1,1,0,1,1,0,6,7,8,8,8,5,5,Oranges,850,Fall,3,"2-5 years, I'm getting good at what I do!"
,1,0,1,0,0,0,0,3,8,8,8,8,1,1,Oranges,487,Spring,2,"< 2 years, I'm fresh!"
,1,1,1,1,1,1,0,3,6,6,4,1,2,6,Oranges,133,Fall,2,"< 2 years, I'm fresh!"
,1,1,1,0,1,1,0,3,8,9,5,7,2,4,Apples,419,Fall,2,"< 2 years, I'm fresh!"
,1,0,0,0,0,0,0,4,3,3,4,3,4,6,Apples,2217,Fall,2,"< 2 years, I'm fresh!"
,0,1,0,0,0,1,0,3,2,6,5,1,1,3,Oranges,424,Summer,1,"None, I just finished my undergrad!"
,0,0,0,0,0,1,0,8,1,2,5,5,9,9,Oranges,1606,Fall,4,"5+ years, I'm a veteran!"
,1,1,0,1,1,0,0,5,8,6,5,1,2,2,Apples,1110,Spring,1,"None, I just finished my undergrad!"
,1,1,0,0,0,1,0,2,7,8,7,6,2,5,Oranges,186,Fall,1,"None, I just finished my undergrad!"
,1,1,0,0,0,1,0,5,4,7,9,5,3,3,Apples,0,Fall,1,"None, I just finished my undergrad!"
,1,1,0,0,0,0,0,1,6,2,2,3,1,1,Apples,640,Summer,3,"2-5 years, I'm getting good at what I do!"
,1,1,0,0,0,1,0,5,8,8,9,6,6,5,Apples,514,Summer,4,"5+ years, I'm a veteran!"
,0,0,0,0,0,1,0,6,3,2,6,1,1,7,Apples,699,Summer,3,"2-5 years, I'm getting good at what I do!"
,1,0,1,0,0,1,0,4,4,5,5,5,5,4,Apples,207,Summer,1,"None, I just finished my undergrad!"
,1,1,1,0,1,0,0,1,7,7,2,3,1,1,Apples,371,Fall,1,"None, I just finished my undergrad!"
,1,1,1,0,0,1,0,8,8,7,6,8,1,3,Apples,591,Summer,1,"None, I just finished my undergrad!"
