id,cs_python,cs_java,cs_c,cs_sql,cs_r,cs_scala,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,len_answer,experience_coded,experience
135,1,0,0,0,0,0,5,3,8,8,7,1,8,88,3,"2 -5 years, I'm getting good at what I do!"
136,1,0,0,1,1,0,5,5,5,5,4,2,7,127,2,"< 2 years, I'm fresh!"
137,1,0,0,1,1,0,6,6,7,9,6,9,8,0,1,"None, I just finished undergrad!"
138,1,0,0,0,1,0,6,4,4,4,2,5,8,303,2,"< 2 years, I'm fresh!"
139,1,1,1,1,0,0,3,4,6,5,1,1,2,237,2,"< 2 years, I'm fresh!"
140,1,0,0,1,0,0,2,3,5,5,1,6,8,237,2,"< 2 years, I'm fresh!"
141,1,1,1,0,1,0,9,10,10,10,10,8,10,149,1,"None, I just finished undergrad!"
142,1,0,0,1,1,0,5,3,3,6,3,7,5,182,2,"< 2 years, I'm fresh!"
143,0,0,0,0,0,0,4,4,8,9,3,5,5,56,1,"None, I just finished undergrad!"
144,1,1,0,1,0,0,3,9,5,3,3,9,9,142,3,"2 -5 years, I'm getting good at what I do!"
145,1,1,0,1,0,0,5,6,6,6,1,5,8,144,3,"2 -5 years, I'm getting good at what I do!"
146,0,0,0,0,1,0,3,1,2,4,4,7,8,326,2,"< 2 years, I'm fresh!"
147,0,1,1,0,0,0,1,5,5,4,1,1,4,19,1,"None, I just finished undergrad!"
148,1,0,1,0,0,0,7,6,10,10,6,10,10,30,2,"< 2 years, I'm fresh!"
149,1,0,1,0,0,0,8,6,10,10,6,10,10,31,2,"< 2 years, I'm fresh!"
150,1,1,1,1,1,0,5,8,8,8,5,5,5,100,1,"None, I just finished undergrad!"
151,1,0,0,0,0,0,7,7,6,4,6,3,6,1431,1,"None, I just finished undergrad!"
152,1,0,1,0,0,0,6,7,6,5,3,1,3,148,1,"None, I just finished undergrad!"
153,1,1,1,0,0,0,9,7,7,7,6,9,7,55,1,"None, I just finished undergrad!"
154,0,0,0,0,1,0,4,1,6,7,3,1,1,92,1,"None, I just finished undergrad!"
155,1,0,0,1,1,0,9,7,5,7,4,5,7,307,3,"2 -5 years, I'm getting good at what I do!"
156,0,0,0,0,1,0,6,5,4,4,1,1,7,354,3,"2 -5 years, I'm getting good at what I do!"
157,1,0,0,1,0,0,6,4,3,3,3,8,7,160,3,"2 -5 years, I'm getting good at what I do!"
158,1,0,0,1,1,0,7,7,8,8,8,9,9,263,4,"5+ years, I'm a veteran DS!"
159,1,0,1,1,0,0,4,7,8,5,1,1,7,75,1,"None, I just finished undergrad!"
160,1,1,1,1,1,0,3,7,7,7,5,3,3,55,1,"None, I just finished undergrad!"
161,1,0,1,0,1,0,6,8,8,7,8,6,6,0,1,"None, I just finished undergrad!"
162,1,1,1,0,0,0,2,8,8,7,5,1,5,83,1,"None, I just finished undergrad!"
163,0,0,0,1,1,0,6,6,8,9,5,5,7,40,1,"None, I just finished undergrad!"
164,0,0,0,0,1,0,4,3,6,7,1,2,9,173,2,"< 2 years, I'm fresh!"
165,1,1,0,1,0,0,3,3,6,6,1,2,6,60,1,"None, I just finished undergrad!"
166,1,1,0,0,1,0,6,7,8,7,5,2,8,70,3,"2 -5 years, I'm getting good at what I do!"
167,1,0,0,0,0,0,4,4,9,6,3,1,5,330,1,"None, I just finished undergrad!"
168,1,1,0,0,0,0,3,5,5,3,1,1,8,74,1,"None, I just finished undergrad!"
