id,cs_python,cs_java,cs_c,cs_perl,cs_javascript,cs_r,cs_sas,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,fruit,len_answer,season,experience_coded,experience
44,0,0,0,0,0,1,1,7,3,9,10,6,6,10,Oranges,204,Summer,3,"2-5 years, I'm getting good at what I do!"
45,1,0,0,0,0,0,0,5,8,7,6,7,6,7,Oranges,461,Winter,2,"< 2 years, I'm fresh!"
46,1,1,0,0,0,1,0,1,6,6,3,5,1,4,Apples,366,Summer,1,"None, I just finished my undergrad!"
47,1,0,0,0,0,0,0,4,1,5,4,1,4,5,Apples,1069,Spring,3,"2-5 years, I'm getting good at what I do!"
48,1,1,0,0,1,0,0,7,10,9,9,9,10,10,Oranges,231,Fall,4,"5+ years, I'm a veteran!"
49,1,0,0,0,0,1,0,2,2,4,3,2,4,4,Oranges,312,Spring,2,"< 2 years, I'm fresh!"
50,1,0,0,0,0,1,0,5,5,8,8,3,7,7,Apples,304,Fall,3,"2-5 years, I'm getting good at what I do!"
51,1,0,1,0,0,1,1,6,5,8,8,8,8,8,Oranges,882,Winter,4,"5+ years, I'm a veteran!"
52,0,0,0,0,0,1,0,3,1,6,6,1,3,7,Oranges,308,Winter,1,"None, I just finished my undergrad!"
53,1,0,0,0,0,1,0,8,7,7,6,6,3,6,Apples,496,Spring,1,"None, I just finished my undergrad!"
54,1,1,0,0,0,1,1,6,5,4,4,3,7,6,Apples,556,Fall,2,"< 2 years, I'm fresh!"
55,1,0,1,0,0,1,0,6,7,6,6,8,6,9,Oranges,1656,Fall,1,"None, I just finished my undergrad!"
56,1,1,1,0,1,1,1,4,6,8,6,6,4,6,Apples,1251,Spring,1,"None, I just finished my undergrad!"
57,1,0,1,0,0,1,1,1,2,8,7,7,2,4,Apples,393,Spring,1,"None, I just finished my undergrad!"
58,0,0,0,0,0,1,0,2,5,8,9,3,5,3,Apples,49,Fall,2,"< 2 years, I'm fresh!"
59,1,0,0,0,0,0,0,1,4,3,1,1,1,2,Apples,512,Fall,1,"None, I just finished my undergrad!"
60,1,0,0,0,1,0,0,6,8,4,3,2,6,7,Oranges,648,Winter,4,"5+ years, I'm a veteran!"
61,0,0,1,0,0,0,1,2,3,3,2,3,4,5,Apples,662,Spring,3,"2-5 years, I'm getting good at what I do!"
62,1,1,1,0,0,1,0,4,8,8,6,5,3,5,Apples,193,Summer,1,"None, I just finished my undergrad!"
63,1,1,1,0,0,0,0,1,3,9,6,1,1,1,Apples,279,Spring,2,"< 2 years, I'm fresh!"
64,0,0,0,0,0,1,0,4,1,8,8,1,6,8,Apples,485,Summer,3,"2-5 years, I'm getting good at what I do!"
65,0,0,0,0,0,1,1,6,1,7,8,4,7,7,Apples,544,Fall,2,"< 2 years, I'm fresh!"
66,1,0,0,0,1,1,0,7,5,5,5,4,9,9,Apples,588,Fall,1,"None, I just finished my undergrad!"
67,1,0,0,0,0,0,0,5,5,4,4,1,6,9,Apples,447,Fall,2,"< 2 years, I'm fresh!"
68,1,0,0,0,0,0,0,7,4,4,4,4,8,8,Oranges,1035,Spring,4,"5+ years, I'm a veteran!"
69,1,0,0,0,0,0,0,4,2,4,6,2,7,7,Oranges,590,Fall,1,"None, I just finished my undergrad!"
70,1,0,0,0,0,0,0,4,6,6,5,1,7,8,Apples,381,Summer,4,"5+ years, I'm a veteran!"
71,1,0,0,0,1,0,0,8,5,6,5,3,6,7,Apples,710,Fall,2,"< 2 years, I'm fresh!"
72,1,1,0,0,0,1,0,1,3,7,6,1,1,5,Oranges,236,Fall,1,"None, I just finished my undergrad!"
73,1,1,0,0,0,0,1,1,1,4,4,1,3,2,Oranges,369,Summer,1,"None, I just finished my undergrad!"
74,0,0,0,0,0,1,0,2,3,7,4,1,5,8,Apples,633,Spring,2,"< 2 years, I'm fresh!"
75,0,0,0,0,0,0,0,1,2,5,8,2,10,10,Oranges,536,Summer,4,"5+ years, I'm a veteran!"
76,0,0,0,0,0,1,0,4,6,8,9,2,3,8,Oranges,205,Fall,2,"< 2 years, I'm fresh!"
77,1,1,1,0,1,1,0,4,7,6,5,1,3,2,Apples,332,Spring,1,"None, I just finished my undergrad!"
78,1,0,0,0,0,1,0,3,4,6,4,2,5,5,Apples,642,Spring,3,"2-5 years, I'm getting good at what I do!"
79,0,0,0,0,0,1,1,3,2,6,6,1,1,5,Apples,1349,Fall,1,"None, I just finished my undergrad!"
80,1,0,0,0,0,1,1,5,3,6,8,5,8,6,Oranges,1482,Fall,1,"None, I just finished my undergrad!"
81,1,0,1,0,0,1,0,3,5,5,5,4,3,4,Oranges,482,Spring,1,"None, I just finished my undergrad!"
82,1,0,1,0,0,1,0,2,4,7,6,4,3,5,Apples,2262,Fall,1,"None, I just finished my undergrad!"
83,1,1,0,0,0,1,0,3,7,4,4,7,6,7,Oranges,660,Fall,3,"2-5 years, I'm getting good at what I do!"
84,1,0,0,0,0,0,0,3,7,8,8,5,8,8,Oranges,98,Spring,4,"5+ years, I'm a veteran!"
85,1,0,0,0,0,1,0,6,3,3,7,3,3,9,Apples,742,Fall,3,"2-5 years, I'm getting good at what I do!"
86,1,0,1,0,0,1,0,6,8,8,7,6,5,6,Oranges,431,Spring,1,"None, I just finished my undergrad!"
87,1,1,0,0,0,0,0,2,2,8,6,3,1,5,Oranges,2989,Summer,1,"None, I just finished my undergrad!"
88,1,0,0,0,0,0,0,3,1,4,2,1,2,5,Apples,499,Fall,1,"None, I just finished my undergrad!"
89,0,1,1,0,0,0,0,1,5,9,9,1,7,5,Apples,304,Spring,1,"None, I just finished my undergrad!"
90,1,1,0,0,0,1,0,3,6,8,8,8,7,8,Oranges,600,Fall,3,"2-5 years, I'm getting good at what I do!"
91,1,0,1,0,0,0,0,5,4,5,4,1,5,6,Apples,918,Summer,3,"2-5 years, I'm getting good at what I do!"
92,1,0,0,0,0,1,1,8,1,5,7,4,5,8,Oranges,1271,Winter,1,"None, I just finished my undergrad!"
93,1,0,0,0,0,1,0,2,1,5,4,1,1,7,Apples,692,Fall,2,"< 2 years, I'm fresh!"
94,1,0,0,0,0,1,0,5,5,7,8,1,3,8,Oranges,1405,Spring,3,"2-5 years, I'm getting good at what I do!"
95,1,0,0,0,0,1,0,5,6,5,6,4,1,9,Oranges,836,Fall,1,"None, I just finished my undergrad!"
96,1,0,1,0,0,1,1,3,3,7,7,5,2,5,Apples,91,Fall,1,"None, I just finished my undergrad!"
97,1,0,0,0,0,0,0,6,2,2,4,3,7,8,Oranges,454,Winter,1,"None, I just finished my undergrad!"
98,1,0,0,0,0,1,0,1,1,7,6,3,1,3,Apples,1021,Fall,1,"None, I just finished my undergrad!"
99,1,0,0,0,0,1,0,4,2,3,3,2,7,7,Apples,491,Spring,3,"2-5 years, I'm getting good at what I do!"
100,0,0,1,0,0,0,0,1,5,5,2,1,2,6,Oranges,827,Spring,3,"2-5 years, I'm getting good at what I do!"
101,1,1,1,0,1,1,1,8,5,8,8,7,4,7,Apples,505,Summer,3,"2-5 years, I'm getting good at what I do!"
102,1,0,1,0,1,1,0,7,7,8,8,8,5,3,Apples,599,Fall,1,"None, I just finished my undergrad!"
103,1,1,0,0,0,0,0,2,8,5,4,4,1,5,Apples,928,Fall,1,"None, I just finished my undergrad!"
104,1,1,0,0,0,1,1,6,4,10,10,7,6,8,Apples,538,Winter,1,"None, I just finished my undergrad!"
105,1,1,1,0,0,0,0,4,8,7,7,6,1,2,Apples,402,Fall,2,"< 2 years, I'm fresh!"
106,1,0,1,0,0,1,0,3,3,5,5,3,7,7,Oranges,478,Summer,3,"2-5 years, I'm getting good at what I do!"
107,0,0,0,0,0,0,0,8,2,6,7,1,7,7,Apples,595,Winter,3,"2-5 years, I'm getting good at what I do!"
108,1,0,0,0,0,1,0,7,4,5,7,7,8,6,Oranges,388,Fall,1,"None, I just finished my undergrad!"
109,1,0,0,0,0,1,1,7,2,3,6,4,6,7,Apples,794,Fall,3,"2-5 years, I'm getting good at what I do!"
110,1,1,0,0,0,1,0,6,6,3,3,5,1,3,Apples,173,Summer,1,"None, I just finished my undergrad!"
111,1,0,0,0,0,0,0,5,4,8,8,1,3,7,Oranges,273,Spring,1,"None, I just finished my undergrad!"
112,1,0,0,0,0,1,0,3,2,8,8,7,1,4,Oranges,316,Spring,1,"None, I just finished my undergrad!"
113,1,0,1,0,0,1,0,3,8,5,6,6,2,2,Oranges,567,Fall,1,"None, I just finished my undergrad!"
114,1,1,0,0,0,0,0,1,3,6,5,1,2,8,Apples,732,Fall,2,"< 2 years, I'm fresh!"
115,1,0,0,0,0,1,0,5,3,4,6,6,9,8,Oranges,846,Fall,1,"None, I just finished my undergrad!"
116,1,1,0,0,1,1,0,2,10,7,5,3,1,7,Oranges,587,Fall,4,"5+ years, I'm a veteran!"
117,1,0,0,0,0,0,1,8,7,5,9,6,8,8,Oranges,685,Winter,3,"2-5 years, I'm getting good at what I do!"
118,1,0,1,0,0,1,0,5,7,5,7,5,7,8,Apples,897,Winter,3,"2-5 years, I'm getting good at what I do!"
119,1,0,0,0,0,1,0,5,3,9,8,2,7,9,Apples,554,Winter,2,"< 2 years, I'm fresh!"
120,1,0,0,0,0,1,0,6,4,8,8,2,9,9,Oranges,324,Fall,1,"None, I just finished my undergrad!"
121,1,0,0,0,0,1,0,5,5,9,8,5,9,8,Apples,428,Fall,1,"None, I just finished my undergrad!"
122,1,0,1,0,0,1,1,2,3,5,6,2,3,4,Oranges,422,Fall,1,"None, I just finished my undergrad!"
123,1,0,1,0,0,0,0,2,3,9,8,6,1,8,Oranges,318,Spring,1,"None, I just finished my undergrad!"
124,1,0,0,0,0,0,0,4,3,8,7,3,1,3,Oranges,534,Summer,1,"None, I just finished my undergrad!"
125,1,1,0,0,0,0,0,5,4,6,6,5,3,8,Oranges,265,Fall,2,"< 2 years, I'm fresh!"
126,1,0,0,0,0,1,0,8,5,8,8,1,8,6,Oranges,620,Fall,2,"< 2 years, I'm fresh!"
127,1,1,0,0,0,0,0,2,4,4,4,4,4,4,Oranges,783,Fall,1,"None, I just finished my undergrad!"
128,1,0,0,0,0,1,0,7,3,7,9,5,7,8,Apples,937,Spring,1,"None, I just finished my undergrad!"
129,1,0,0,0,0,0,0,7,6,7,7,8,4,4,Apples,142,Fall,2,"< 2 years, I'm fresh!"
130,1,1,1,0,0,1,1,5,4,5,7,5,6,6,Apples,476,Fall,1,"None, I just finished my undergrad!"
131,1,0,0,0,0,1,0,2,2,5,3,1,1,8,Apples,407,Winter,3,"2-5 years, I'm getting good at what I do!"
132,0,1,0,0,0,1,0,5,4,7,8,4,3,8,Oranges,756,Fall,1,"None, I just finished my undergrad!"
133,1,1,1,0,0,0,0,4,6,7,5,3,1,8,Apples,495,Fall,2,"< 2 years, I'm fresh!"
134,1,0,1,0,0,1,0,1,4,6,7,4,8,8,Oranges,412,Fall,3,"2-5 years, I'm getting good at what I do!"
135,1,0,1,0,0,0,0,2,4,5,5,2,7,8,Apples,606,Fall,1,"None, I just finished my undergrad!"
136,1,1,1,0,0,1,0,1,4,8,8,2,1,2,Oranges,169,Summer,1,"None, I just finished my undergrad!"
137,1,1,1,0,0,1,0,3,7,6,3,4,7,7,Oranges,270,Summer,4,"5+ years, I'm a veteran!"
138,1,1,1,0,0,0,0,7,7,4,4,6,5,9,Apples,683,Spring,2,"< 2 years, I'm fresh!"
139,1,0,1,0,0,1,0,1,2,5,3,3,3,6,Apples,217,Fall,3,"2-5 years, I'm getting good at what I do!"
140,0,0,0,0,0,0,0,1,2,3,2,1,5,7,Apples,700,Summer,3,"2-5 years, I'm getting good at what I do!"
141,1,0,0,0,0,0,0,1,2,8,7,3,8,5,Apples,785,Fall,1,"None, I just finished my undergrad!"
142,1,0,1,0,0,0,0,2,2,7,7,5,3,6,Apples,47,Fall,1,"None, I just finished my undergrad!"
143,1,1,1,0,0,1,1,6,6,7,8,7,4,4,Oranges,352,Fall,1,"None, I just finished my undergrad!"
144,1,0,0,0,0,0,0,1,1,2,1,1,8,8,Apples,233,Winter,3,"2-5 years, I'm getting good at what I do!"
145,1,0,0,0,0,0,0,3,2,7,6,1,8,8,Oranges,353,Fall,4,"5+ years, I'm a veteran!"
146,0,0,0,0,0,0,0,3,0,4,3,0,4,7,Apples,427,Fall,3,"2-5 years, I'm getting good at what I do!"
147,1,1,0,0,0,1,0,1,3,4,4,3,1,2,Oranges,343,Fall,1,"None, I just finished my undergrad!"
148,1,0,0,0,0,0,0,7,5,8,7,6,2,4,Apples,386,Fall,1,"None, I just finished my undergrad!"
149,1,0,0,0,0,1,0,5,5,7,7,5,3,7,Apples,680,Fall,1,"None, I just finished my undergrad!"
150,0,1,1,0,0,0,0,1,4,8,6,1,1,8,Apples,307,Fall,2,"< 2 years, I'm fresh!"
151,1,1,1,0,0,1,0,2,7,5,5,6,1,5,Oranges,470,Fall,1,"None, I just finished my undergrad!"
152,1,1,0,0,0,1,1,1,1,4,4,3,1,2,Apples,165,Fall,1,"None, I just finished my undergrad!"
153,1,1,1,0,0,1,0,3,6,6,6,4,1,8,Apples,754,Winter,1,"None, I just finished my undergrad!"
154,1,1,0,0,0,1,0,8,7,6,8,2,8,10,Apples,265,Spring,4,"5+ years, I'm a veteran!"
155,1,1,0,0,0,1,0,4,2,5,6,6,1,2,Oranges,402,Summer,1,"None, I just finished my undergrad!"
156,1,1,0,0,0,1,0,4,4,3,3,1,1,5,Oranges,555,Fall,2,"< 2 years, I'm fresh!"
157,1,0,0,0,0,1,1,1,3,7,8,1,1,4,Apples,0,Summer,1,"None, I just finished my undergrad!"
158,1,0,0,0,0,1,0,1,3,5,5,1,1,6,Oranges,222,Spring,2,"< 2 years, I'm fresh!"
